accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
2,1,1,1,1,1,52.35663017,4.895279665,1,10,2.522628204,1,0,1,0,0
2,1,1,1,1,1,52.35151046,5.001911397,1,2,7.603737727,1,0,0,1,0
2,1,1,1,1,1,52.3437334,4.865055329,3,8,4.578817483,0,1,1,0,0
4,1,2,1,2,1,52.37833586,4.848921368,2,35,3.427636253,1,0,1,0,0
2,1,1,1,1,1,52.38764676,4.879292158,3,1,1.658084661,1,0,1,0,0
4,1,2,1,1,1,52.35511425,4.900158756,2,6,2.675765224,1,0,1,0,0
5,1,3,1,4,1,52.39150767,4.907097579,7,3,1.464345971,1,0,1,0,0
2,1,1,1,1,1,52.3739824,4.862960454,2,144,2.540856416,1,0,0,1,0
4,2,3,1,3,1,52.35582604,4.881684903,2,61,2.861853518,1,0,1,0,0
3,1,1,1,2,1,52.35618306,4.902686452,2,7,2.566062908,0,1,1,0,0
2,1,1,2,1,2,52.36633421,4.876072405,3,6,2.133543514,1,0,0,1,0
1,1,1,1,1,2,52.37456269,4.863640797,3,0,2.481766763,0,1,0,1,0
1,1,1,1,1,1,52.35237535,4.853174226,1,8,4.327841206,1,0,0,1,0
5,2,4,2,5,2,52.355831,5.001259081,2,0,7.380754358,1,0,1,0,0
4,1.5,1,2,2,2,52.35405895,4.866713795,3,28,3.567468237,1,0,1,0,0
2,1,2,1,2,1,52.36597859,4.853383089,4,2,3.451819022,1,0,1,0,0
4,1,2,1,4,1,52.40440345,4.920124037,3,12,3.133723018,1,0,1,0,0
2,1,1,1,1,1,52.35304163,4.903386711,2,15,2.918000516,1,0,1,0,0
5,1.5,4,1,1,1,52.35629687,4.989662083,5,2,6.629831503,1,0,1,0,0
2,1,1,1,1,1,52.36696202,4.934142241,3,14,2.718802661,1,0,1,0,0
4,1.5,2,1,2,1,52.36724511,4.837356548,2,13,4.415556566,1,0,1,0,0
2,2,1,1,1,1,52.35332984,4.839774225,3,3,4.964235387,1,0,0,1,0
